epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.025749964639544487,0.028738372027873993,0.05665169036386677,0.6296917000624491,0.05260621696514994,0.6800489950475422
2,0.016379322856664658,0.009550443850457668,0.15081681841058867,0.829670346578891,0.2902007305448636,0.8556402079512515
3,0.010878096334636211,0.008680730126798153,0.22056089908701249,0.8889829767354082,0.31495582714152015,0.8597920547423771
4,0.011322250589728355,0.007451280020177364,0.26296715076666727,0.9146810976844809,0.2984295762944391,0.8713158300754013
5,0.009805071167647839,0.017024461179971695,0.29094322870718486,0.9273096301656162,0.35736786091391815,0.882667726356805
6,0.009572119452059269,0.008863795548677444,0.3155574619762203,0.9373352473472375,0.3273296327637766,0.8799837693864158
7,0.011490736156702042,0.0072705731727182865,0.3270003154317584,0.9400461084036822,0.3379840264133718,0.8684266892251301
8,0.008927418850362301,0.007217882666736841,0.3395754207331585,0.9454480145079499,0.35913155757024956,0.874475537720496
9,0.012229539453983307,0.012707971967756748,0.35816462596046605,0.946075879191841,0.3528838328815642,0.8852162862164988
10,0.00809481181204319,0.017154624685645103,0.3534040912224404,0.9495900920711957,0.33505327938402835,0.8872406523415254
11,0.011636151000857353,0.006912166252732277,0.3654303742295865,0.9511260629045096,0.3705603684919931,0.8887029749257032
12,0.007381167728453875,0.0073002721183001995,0.37496801989616513,0.9510971346746316,0.36943567562781654,0.8959298328720967
13,0.010030539706349373,0.007657138630747795,0.38274178073055554,0.9546152021218347,0.3688173929646059,0.8986909794024607
14,0.010760284028947353,0.007152858655899763,0.38786608271453665,0.9531631290724617,0.349715795649215,0.8874813622623877
15,0.009535946883261204,0.026625512167811394,0.39477684093464105,0.9549474041081911,0.33808842614115814,0.8972446171377674
16,0.00752525357529521,0.006960917264223099,0.38777501981189194,0.9562159543757153,0.35312491794869744,0.8973162917512622
17,0.007438782136887312,0.006321234162896872,0.4008772735907617,0.9595981371733556,0.34415558713005856,0.8954079179061109
18,0.007589900866150856,0.008319112472236156,0.40994772515817285,0.9593596669763581,0.3531981580095007,0.8970429807441854
19,0.011254807934165001,0.0054994854144752026,0.41210723668186056,0.957236473666285,0.35655529013826426,0.8986113309029569
20,0.008886292576789856,0.02089351788163185,0.4103021724828164,0.959202939243078,0.35743672484498923,0.8920707793859385
21,0.007539598271250725,0.006009695585817099,0.41475806085171457,0.9619634823614319,0.35179114108969683,0.8512478945419631
22,0.02054581232368946,0.006022494286298752,0.42180920321992277,0.9600894592773033,0.37667046616676925,0.8967299078703385
23,0.01113718468695879,0.012712563388049603,0.4167855766239019,0.9612665621212368,0.37030701574162417,0.8996243958919354
24,0.01086574699729681,0.006008608732372522,0.42156473101382047,0.9621167238452267,0.3660033381198347,0.8917232757585619
25,0.010302643291652203,0.017592567950487137,0.4282172532605468,0.9624624894443587,0.37130464121979956,0.9004417871605245
